t34446aep|VIAAT_XENLA
t38432aep|MYO3B_HUMAN
t38504aep|CATIP_DANRE
t38510aep|ZN235_MOUSE
t38497aep|DDC_HUMAN
t38498aep|MARH1_HUMAN
t31723aep|NADA_APLCA
t31741aep|FBP1_STRPU
t33119aep|KINH_STRPU
t37447aep|ANKS3_HUMAN
t36612aep|ERIC3_HUMAN
t32286aep|RIMS2_RAT
t32273aep|CI172_HUMAN
t32909aep|F228B_MOUSE
t32343aep|GRT1A_DANRE
t32328aep|SPIT3_HUMAN
t32896aep|LOX5_RAT
t37679aep|DCC_MOUSE
t37695aep|ANPRA_MOUSE
t33218aep|TACC3_XENLA
t33213aep|CEP44_XENTR
t33223aep|ZMYM1_HUMAN
t33849aep|CATL_SARPE
t33869aep|OSBL8_MOUSE
t35771aep|RASEF_MOUSE
t37402aep|NAC1_CAVPO
t37422aep|ADA12_MOUSE
t37405aep|OTOF_DANRE
t32189aep|NINL_HUMAN
t32206aep|EGL15_CAEEL
t38735aep|KAPR2_DROME
t38731aep|SAC2_DANRE
t38159aep|TPGS2_HUMAN
t38154aep|S35E1_RAT
t37761aep|ADRB2_MOUSE
t31410aep|ANKF1_HUMAN
t31430aep|ARGI1_HUMAN
t37485aep|UN93L_DROME
t37782aep|EMAL4_XENTR
t37803aep|SPNS1_DANRE
t35786aep|AP1G_DICDI
t35785aep|KCNA1_RAT
t34532aep|TFF3_RAT
t37145aep|ZCPW1_HUMAN
t37152aep|MACF1_HUMAN
t37156aep|CHIA_MOUSE
t31809aep|KPCA_RAT
t31783aep|DMBT1_RABIT
t31811aep|UBIQ_ENCCU
t31794aep|CP17A_CHICK
t36091aep|F166B_XENTR
t36106aep|USH1C_MOUSE
t36128aep|CAH2_TRIHK
t36104aep|SDK1_HUMAN
t31356aep|OTOF_HUMAN
t31354aep|CA2D4_HUMAN
t31303aep|AB1IP_CHICK
t31349aep|GRM7_HUMAN
t31357aep|LRRC9_HUMAN
t31316aep|ROR1_HUMAN
t37266aep|HARB1_HUMAN
t37247aep|NAS13_CAEEL
t37310aep|TMC7_HUMAN
t37309aep|WHRN_HUMAN
t31480aep|KCNB2_MOUSE
t31544aep|YVNF_AZOCH
t34403aep|WDFY3_MOUSE
t34425aep|ZMYM1_HUMAN
t34366aep|PLCL_MYTGA
t34424aep|TRY3_SALSA
t32564aep|AVIL_HUMAN
t32552aep|CTRO_HUMAN
t38304aep|S22A4_HUMAN
t32047aep|RTJK_DROME
t32002aep|HMCN1_HUMAN
t32000aep|RET_RAT
t31986aep|ZMYM1_HUMAN
t35471aep|FHAD1_HUMAN
t35477aep|RTJK_DROME
t35503aep|DSCL1_CHICK
t31770aep|VWA3B_HUMAN
t37553aep|TRA1_MAIZE
t33004aep|CNTP2_HUMAN
t35576aep|ZBED4_MOUSE
t35627aep|AL14E_BOVIN
t35579aep|RTJK_DROFU
t34201aep|RTJK_DROME
t34267aep|H2B3_TIGCA
t34240aep|ZMYM1_HUMAN
t34261aep|AGRL3_BOVIN
t37937aep|AL14E_RAT
t37857aep|GIN1_HUMAN
t37859aep|YTX2_XENLA
t37855aep|THAP9_HUMAN
t37336aep|ZMYM1_HUMAN
t37327aep|TCB2_CAEBR
t31767aep|FKBP9_RAT
t34857aep|U390_DANRE
t36727aep|DRAM1_HUMAN
t31759aep|MPC2_PONAB
t34824aep|PCR3_ARATH
t35637aep|RNF11_MOUSE
t33638aep|TRPC5_RABIT
t31554aep|CYT_NOTSC
t32073aep|PIGE_DROME
t38527aep|ANK1_HUMAN
t36058aep|ACHA3_CHICK
t33129aep|LSM1_HUMAN
t32130aep|NPC2_DROME
t36020aep|ADCY9_MOUSE
t36201aep|B4GN4_HUMAN
t33788aep|MCAF1_HUMAN
t34831aep|MTH2_DROYA
t33820aep|TM175_DANRE
t38515aep|KCNC1_MOUSE
t36301aep|MCPI_MELCP
t34733aep|MCPI_MELCP
t36216aep|DLP1_MOUSE
t34780aep|Y1101_SYNY3
t34781aep|SET1_YEAST
t32229aep|TM127_DANRE
t36346aep|OPN3_MOUSE
t32796aep|DUS16_HUMAN
t36240aep|CDKL1_DANRE
t38053aep|GNPTA_DANRE
t38051aep|RAB6A_CHICK
t34888aep|LITAF_DANRE
t37655aep|S12A4_RAT
t36310aep|CPI1_PIG
t38380aep|PTN23_MOUSE
t32653aep|DRAM2_MOUSE
t33934aep|TBB4B_MESAU
t33926aep|TEAD1_HUMAN
t37085aep|STK16_RAT
t26076aep|JAZF1_MOUSE
t5701aep|AXIN1_HUMAN
t20399aep|ELAV2_XENTR
t1163aep|NOT2_XENLA
t10144aep|HS12A_HUMAN
t10135aep|ROR1_DROME
t5706aep|YXIE_BACSU
t28847aep|CC191_HUMAN
t18735aep|FOXA2_ORYLA
t28510aep|CEP83_MOUSE
t28512aep|RAP1_CAEEL
t28513aep|LAR_CAEEL
t4095aep|PNCA_ECOLI
t25273aep|PQLC1_BOVIN
t26432aep|KCNK9_XENLA
t7698aep|MFNA_METPE
t26440aep|RBP1_HUMAN
t28473aep|GAPR1_HUMAN
t27792aep|MLP_ACRMI
t26387aep|GLAS_DROVI
t29730aep|CHSTB_RAT
t29717aep|RWA1_ARATH
t29715aep|CDK14_CALJA
t19698aep|NRX1A_HUMAN
t29720aep|AD26A_MOUSE
t19681aep|SPIR2_HUMAN
t29725aep|BRAC_CHICK
t3271aep|IGS10_HUMAN
t24865aep|AGRB3_MOUSE
t26158aep|VMO1_HUMAN
t26163aep|GGH_MOUSE
t18765aep|EAA1_HUMAN
t25706aep|PRFA_POLPE
t5080aep|KGP1_HUMAN
t25721aep|CA158_HUMAN
t5096aep|WDR25_HUMAN
t30407aep|ABCA3_MOUSE
t21322aep|SOX14_DANRE
t21324aep|GC76C_DROME
t7309aep|STX6_PONAB
t4557aep|CBPB_ASTAS
t4564aep|XBP1_MOUSE
t4539aep|CEL2A_PIG
t4511aep|CRKL_MOUSE
t4522aep|CALM_SCHPO
t28181aep|LMOD3_DANRE
t13955aep|KCNB2_RABIT
t13961aep|KPSH1_BOVIN
t28188aep|AQP9_HUMAN
t28564aep|RHG05_MOUSE
t28562aep|EXC6B_MOUSE
t14949aep|DDX43_HUMAN
t1197aep|SP17_RABIT
t24177aep|TRAF4_HUMAN
t18829aep|HPCL1_SHEEP
t23544aep|PRY1_YEAST
t23523aep|CALM_DICDI
t23543aep|DIRA1_HUMAN
t31065aep|CC50A_MOUSE
t23529aep|LTOR4_NEMVE
t10099aep|TM143_BOVIN
t10102aep|CETN1_BOVIN
t24351aep|FUT11_RAT
t1873aep|P4HA1_PONAB
t11055aep|LWA_HYDEC
t11083aep|FBX8_MOUSE
t11063aep|G3ST3_MOUSE
t3693aep|PCKGM_MOUSE
t14aep|MFSD6_PIG
t23852aep|TITIN_HUMAN
t23865aep|LKAM1_MOUSE
t33aep|SCLY_BOVIN
t17597aep|CEL2A_PIG
t29194aep|DYST_HUMAN
t17596aep|ZRAN1_HUMAN
t17581aep|TC1D2_HUMAN
t17590aep|NCAH_DROME
t29189aep|ANPRA_MOUSE
t17607aep|LRC73_HUMAN
t24795aep|P4HTM_HUMAN
t3206aep|PACN1_PONAB
t24789aep|GGA1_MOUSE
t27585aep|DRD1_PIG
t13608aep|JIP1_HUMAN
t16628aep|CBPD_LOPSP
t16624aep|FKB14_MOUSE
t12658aep|MICU2_HUMAN
t13343aep|SEP2B_XENLA
t26415aep|ATS7_RAT
t28460aep|PGPS1_CHICK
t14391aep|PAR12_HUMAN
t14389aep|ETFA_HUMAN
t28463aep|NRIF2_MOUSE
t19638aep|HEBP2_HUMAN
t19658aep|NPAL2_HUMAN
t29694aep|RLBP1_HUMAN
t25237aep|ASIC3_HUMAN
t3968aep|NDF4_HUMAN
t25235aep|CHAC2_DANRE
t3974aep|ELAV2_XENTR
t7416aep|RGL1_DANRE
t7408aep|NALD2_MOUSE
t26356aep|NR1BA_DANRE
t7419aep|MAF1_MOUSE
t12001aep|MORN4_BOVIN
t12013aep|DYRK2_MOUSE
t30329aep|ZMIZ1_HUMAN
t1821aep|PP3BB_XENLA
t1806aep|HEXA_HUMAN
t3545aep|P4HTM_MOUSE
t3525aep|SY63_DIPOM
t3538aep|CPEB1_PONAB
t25019aep|GA2L1_MOUSE
t25014aep|KLF5_MOUSE
t29421aep|PRY3_YEAST
t29411aep|TTC28_HUMAN
t12027aep|ECE1_CAVPO
t7359aep|FKBP7_PONAB
t26322aep|ZIFL1_ARATH
t7356aep|EGL44_CAEEL
t1509aep|FOXI2_XENTR
t1499aep|NAS13_CAEEL
t25826aep|UGDH_MOUSE
t20377aep|HEM0_BOVIN
t20372aep|TT30A_XENTR
t29114aep|NPC2_MAGO7
t27323aep|CRYAB_BOVIN
t10996aep|VGLU2_HUMAN
t24575aep|AB6A_ARATH
t31104aep|TSN9_HUMAN
t31093aep|M3K3_HUMAN
t31102aep|ASI1A_DANRE
t25458aep|DYH2_MOUSE
t29021aep|CC142_MOUSE
t29029aep|ABHD3_MOUSE
t30881aep|DAPK2_MOUSE
t27163aep|K1841_MOUSE
t18895aep|CC186_PONAB
t27165aep|AIDA_DANRE
t10418aep|QPCTL_BOVIN
t10412aep|TXD17_PONAB
t22547aep|ASIC1_HUMAN
t25400aep|TRAF4_MOUSE
t18888aep|TFP8L_DROPS
t25389aep|PTPR2_HUMAN
t18857aep|PRY1_YEAST
t28780aep|MLP_ACRMI
t16101aep|EVA1C_HUMAN
t18862aep|SLIT_DROME
t16977aep|TBB_HALDI
t18858aep|NAS6_CAEEL
t29009aep|PHAR2_HUMAN
t29004aep|FGRL1_RAT
t23549aep|UXS1_XENTR
t18877aep|PKHA1_HUMAN
t28503aep|PPIB_CHICK
t28506aep|ECCA1_MYCTU
t24455aep|SEPR_MOUSE
t24458aep|TLD_DROME
t27107aep|SLNL1_HUMAN
t27115aep|TMOD3_MOUSE
t27833aep|CL056_HUMAN
t13087aep|AT8A1_HUMAN
t29581aep|BMPH_STRPU
t27525aep|MUC5B_CHICK
t27530aep|HYDMA_HYDVU
t25340aep|CC177_MOUSE
t25321aep|SH2B2_HUMAN
t25337aep|CALM_PNECA
t13247aep|GGT1_HUMAN
t26873aep|ZSC31_HUMAN
t26864aep|MITD1_RAT
t26867aep|PDE11_MOUSE
t25790aep|B4GN3_MOUSE
t24660aep|TRIM9_HUMAN
t2823aep|PGK_DICT6
t2815aep|SY65_DROME
t24667aep|CALM_PROMN
t18612aep|ACE_RAT
t18616aep|PRY1_YEAST
t9164aep|GRM8_MOUSE
t28440aep|CALM_HETTR
t28433aep|CAS4_EPHMU
t27546aep|ANR28_MOUSE
t27542aep|S17A5_HUMAN
t11824aep|GABPA_HUMAN
t27539aep|LOXH1_MOUSE
t11831aep|AGFG1_RAT
t2568aep|GCY_STRPU
t2585aep|WNK1_RAT
t2553aep|FPGT_MOUSE
t24584aep|NPDC1_HUMAN
t24576aep|MADD_RAT
t2576aep|LRBA_MOUSE
t24582aep|DJC16_PONAB
t2573aep|RGMA_MOUSE
t24874aep|ECE1_MOUSE
t24877aep|TES_AOTNA
t3297aep|MMP27_HUMAN
t15152aep|RIT2_HUMAN
t9165aep|SEC4_CANGA
t15140aep|KCNF1_HUMAN
t28605aep|ENTP1_HUMAN
t15148aep|SAV1_MOUSE
t15172aep|PRS4_DROME
t15167aep|ENAH_HUMAN
t15139aep|B3GA3_MOUSE
t26771aep|CATL_SARPE
t28163aep|ICK_HUMAN
t13791aep|OSGI2_HUMAN
t13826aep|PZRN3_HUMAN
t13822aep|MEIG1_XENLA
t28158aep|UNC79_MOUSE
t2765aep|LIN32_CAEEL
t24644aep|GGHA_DICDI
t24627aep|CAC1A_RAT
t24623aep|LOX5_MESAU
t2759aep|ZNT2_MOUSE
t2746aep|1433_DICDI
t29633aep|ANK2_HUMAN
t30843aep|LPAR6_RAT
t30835aep|MCATL_BOVIN
t30836aep|GBRB3_RAT
t17353aep|OPN4B_XENLA
t17307aep|HEBP2_HUMAN
t17321aep|ATTY_MOUSE
t17347aep|NAS4_CAEEL
t17326aep|PCAT2_MOUSE
t17335aep|REPS1_HUMAN
t29082aep|KCNF1_HUMAN
t17945aep|PACRG_MOUSE
t17932aep|PRRT1_HUMAN
t29244aep|YJBM_BACSU
t29242aep|KCNH6_RAT
t17938aep|AT11B_HUMAN
t23435aep|DLX1A_DANRE
t31040aep|ACH10_HUMAN
t23446aep|SAMH1_HUMAN
t23442aep|RAB38_HUMAN
t23426aep|SFRP4_RAT
t27007aep|GFI1B_CHICK
t26993aep|FEZF2_BOVIN
t10197aep|COCA1_CHICK
t10222aep|MYS_ARGIR
t10200aep|NLTP_BOVIN
t10199aep|SQRD_HUMAN
t10214aep|ENDB1_SOLTU
t10702aep|P4HTM_HUMAN
t27236aep|TRPA1_MOUSE
t20602aep|KLF7_HUMAN
t20598aep|FGFR1_HUMAN
t30059aep|LMIP_BOVIN
t25094aep|THEM4_HUMAN
t25085aep|COCA1_CHICK
t3809aep|PRFA_POLPE
t3836aep|CDS1_MOUSE
t3804aep|PTPRK_HUMAN
t25104aep|YHBS_ECOLI
t18810aep|NAS4_CAEEL
t18793aep|RNF38_MOUSE
t18820aep|NAS4_CAEEL
t29491aep|KIF17_HUMAN
t27685aep|NCKX5_DANRE
t27676aep|MYO3A_HUMAN
t30358aep|RHO4_SCHPO
t30362aep|KCNC1_MOUSE
t26205aep|CHSTB_MOUSE
t30962aep|RDH13_MOUSE
t23334aep|CNTN2_CHICK
t30970aep|CHI3_CANAL
t184aep|MPDZ_HUMAN
t7790aep|YJBQ_ECOLI
t7785aep|PPR3B_DANRE
t26459aep|MAPK5_HUMAN
t24960aep|TRIM3_RAT
t24946aep|LHTL4_ARATH
t3398aep|EVA1C_MOUSE
t24945aep|CNNM2_RAT
t3388aep|PDP2_RAT
t3394aep|PGFS_DANRE
t23372aep|MFD4A_XENTR
t23376aep|COMA_CONMA
t23356aep|PPM1K_XENLA
t31005aep|MTRAB_XENLA
t23364aep|DYI2_HELCR
t31010aep|KLH17_HUMAN
t31013aep|CSL3_ONCKE
t31009aep|PRDM6_MOUSE
t22700aep|NDF1_DANRE
t30817aep|TRPA1_CAEEL
t22714aep|KCNK2_RAT
t30802aep|BLML4_DICDI
t30909aep|K1109_HUMAN
t30926aep|AKA10_MOUSE
t1553aep|SCMC1_MOUSE
t1570aep|FXDC2_HUMAN
t24243aep|MRP7_HUMAN
t25746aep|LY75_HUMAN
t25763aep|AGRIN_HUMAN
t25736aep|ROBO1_HUMAN
t25738aep|H2AL_STRPU
t25739aep|H2AL_STRPU
t5157aep|ADCY9_HUMAN
t19818aep|EPHA8_RAT
t19816aep|LICH_MACFA
t29826aep|MFSD6_PIG
t17378aep|LOXH1_HUMAN
t24809aep|ABCA2_HUMAN
t24828aep|ENPP4_XENLA
t24824aep|G3ST3_MOUSE
t18010aep|SLD1_HELAN
t25547aep|ZSWM8_MOUSE
t25529aep|KANK1_HUMAN
t24907aep|NBEL1_HUMAN
t3362aep|DCTN5_MOUSE
t24914aep|SERIC_NEMVE
t24887aep|TIAM2_MOUSE
t25522aep|KI26A_MOUSE
t25485aep|NOTCH_DROME
t2596aep|PA2_MESTA
t25523aep|RDGB_DROME
t25519aep|NAS15_CAEEL
t25501aep|CEL3B_MOUSE
t4675aep|DAPP1_HUMAN
t29983aep|H2B1_TIGCA
t30032aep|ST38L_HUMAN
t30017aep|CATL_DROME
t25853aep|UNC80_HUMAN
t5567aep|SPAT6_HUMAN
t26572aep|KCA10_CHICK
t8296aep|MEF2A_BOVIN
t8320aep|TICN2_HUMAN
t26555aep|NOTC1_DANRE
t8295aep|SAXO1_MACFA
t8313aep|AQP9_HUMAN
t18032aep|CLUA1_MOUSE
t28257aep|DAPK2_HUMAN
t14257aep|GBA2_MOUSE
t14267aep|PBX2_XENTR
t14247aep|GLUCL_DROME
t19736aep|SH3R1_XENLA
t29781aep|PIP1_DROME
t19732aep|ABLM1_HUMAN
t2858aep|RIMB2_MOUSE
t2837aep|LOXH1_HUMAN
t24687aep|TRY3_SALSA
t2603aep|IQCG_HUMAN
t2602aep|UBXN6_MOUSE
t24688aep|RNFT2_HUMAN
t24740aep|TCB2_CAEBR
t2875aep|GGP3_ARATH
t24728aep|NOTC1_XENLA
t2864aep|EDIL3_HUMAN
t2842aep|MARH1_HUMAN
t31204aep|PTPRD_MOUSE
t31203aep|ABCA3_HUMAN
t23796aep|SYT14_HUMAN
t23794aep|KLH18_HUMAN
t19925aep|CA043_MOUSE
t30567aep|CAMP2_MOUSE
t30599aep|NOTC1_DANRE
t30595aep|PK1L2_HUMAN
t21836aep|RB11B_DIPOM
t21809aep|ASPG_DIRIM
t19937aep|PAO1_ARATH
t21822aep|NAS6_CAEEL
t20709aep|ZIC4_MOUSE
t25627aep|ZMYM1_HUMAN
t25696aep|CDO1_DANRE
t5075aep|NPC2_DANRE
t5052aep|VAV2_HUMAN
t25636aep|LRRK2_MOUSE
t5043aep|XYLT_DROPS
t3917aep|CALM_SCHPO
t3948aep|BACE1_HUMAN
t25163aep|COKA1_MOUSE
t25134aep|RTJK_DROFU
t25205aep|FGFR_HYDVU
t3921aep|GSH0_RAT
t28119aep|P52K_HUMAN
t28092aep|THA11_BOVIN
t13751aep|OPCM_PANTR
t13755aep|FAIM1_RAT
t452aep|SYT4_ARATH
t458aep|PR1B_TOBAC
t457aep|ADHE_CLOAB
t436aep|YPEL1_HUMAN
t24018aep|CP4AL_PIG
t20768aep|BRAC_CANLF
t20746aep|E41L5_BOVIN
t30267aep|NAS4_CAEEL
t30219aep|EGTB_MYCT3
t30215aep|VWDE_HUMAN
t28394aep|THAP7_HUMAN
t14300aep|CALM_PLAFA
t28378aep|RTBS_DROME
t28405aep|PELET_DROME
t28339aep|RTBS_DROME
t28353aep|LORF2_MOUSE
t14314aep|CHIN_HUMAN
t14316aep|OX2R_MOUSE
t28315aep|THAP9_HUMAN
t27034aep|ZMYM5_MACFA
t10228aep|ATG13_DROME
t10246aep|BCAR1_RAT
t10272aep|LCHN_DANRE
t10232aep|GAPR1_HUMAN
t10258aep|NAS15_CAEEL
t19369aep|DCDC5_HUMAN
t18099aep|FSHR_HORSE
t18095aep|MYC_TADBR
t1780aep|PRD13_MOUSE
t1792aep|PLSI_BOVIN
t1767aep|RSLBB_DANRE
t1769aep|NAS4_CAEEL
t353aep|BOLL_HUMAN
t19618aep|ABHD6_BOVIN
t19631aep|DAAA_BACLI
t19629aep|IP6K2_RABIT
t18017aep|FSCN1_HUMAN
t3845aep|MARH1_HUMAN
t22261aep|ASIC3_HUMAN
t2367aep|S36A4_XENLA
t2390aep|SYCP3_BOVIN
t2373aep|MKNK1_MOUSE
t2383aep|ASI4A_DANRE
t2368aep|AGRL3_HUMAN
t1725aep|NAS13_CAEEL
t13476aep|LBP_MOUSE
t13486aep|CALM5_ARATH
t27953aep|RAB3D_RAT
t13480aep|EVA1C_PANTR
t20126aep|THRB_MOUSE
t29906aep|VPS54_DROME
t25615aep|CHI3_CANAL
t4999aep|TPM1_PODCA
t28001aep|TBB_PARLI
t13619aep|NCAH_DROME
t27994aep|CHIA_RAT
t13623aep|FUCO_HUMAN
t9713aep|MARH2_XENTR
t26878aep|ADB4C_MELGA
t24291aep|HEXC_BOMMO
t24547aep|CALM5_ARATH
t22234aep|RIMK_SERP5
t5012aep|TM175_MOUSE
t15916aep|TM164_HUMAN
t15931aep|ECE1_MOUSE
t15895aep|SEPR_MOUSE
t1105aep|FBLN4_HUMAN
t1107aep|GAPR1_HUMAN
t1087aep|PK2L1_HUMAN
t1119aep|BLC_VIBCH
t1098aep|NAS15_CAEEL
t20256aep|ARX_HUMAN
t20275aep|CBPA2_RAT
t20282aep|GGHA_DICDI
t20262aep|MRC2_HUMAN
t20257aep|SSUH2_HUMAN
t19881aep|CHSTB_MOUSE
t19893aep|KCNQ4_HUMAN
t18197aep|RNMT_MYCLE
t28816aep|GWL_AILME
t16230aep|HCE1_ORYLA
t17403aep|SHB_MOUSE
t17410aep|RAB8B_RAT
t19516aep|ANR29_DANRE
t19511aep|LRP4_MOUSE
t17825aep|CE57L_XENLA
t17828aep|AMPE_RAT
t17849aep|CAC1H_MOUSE
t17837aep|GTPB2_HUMAN
t17844aep|AHR_HUMAN
t17832aep|LIPR2_MYOCO
t17822aep|ENPP5_RAT
t3617aep|HES2_RAT
t560aep|EMAL6_HUMAN
t548aep|5NTD_MOUSE
t561aep|GBRB1_RAT
t1147aep|ACK1_HUMAN
t1140aep|NECA_HYDVU
t1131aep|MYPH_ECHGR
t13169aep|ADA1A_HUMAN
t17869aep|TLR2_BOSTR
t17886aep|PTRB_MORLA
t11238aep|NANP_RAT
t19057aep|ACM4_MOUSE
t19039aep|ACE_HUMAN
t19041aep|ESN_DROPS
t19035aep|RHES_HUMAN
t19045aep|TSN13_MOUSE
t19037aep|ARSB_MOUSE
t10047aep|PKNX2_HUMAN
t10032aep|KCNA1_MOUSE
t10050aep|PRIC1_AEDAE
t10035aep|CALM_TRYCR
t10012aep|SNX11_HUMAN
t21229aep|GRM1B_HUMAN
t21261aep|BAT38_CAEEL
t21259aep|NMDE1_MOUSE
t23201aep|SNP25_RAT
t23213aep|LAP4_DROME
t23190aep|SPEF1_XENLA
t8607aep|SYT15_HUMAN
t8618aep|CAH5B_MOUSE
t8636aep|CTDSL_CHICK
t11682aep|MDR1_HUMAN
t18029aep|LMNB2_CHICK
t22326aep|ACT17_DICDI
t9974aep|PAX2A_DANRE
t22338aep|YR571_MIMIV
t9464aep|MCF2L_HUMAN
t9447aep|SUP9_CAEEL
t9449aep|PROF4_BOVIN
t23292aep|HNMT_TETNG
t23311aep|LMOD3_DANRE
t18594aep|DGKH_HUMAN
t30318aep|CTR2_CANLF
t21128aep|ESRP1_RAT
t21135aep|ZGLP1_MOUSE
t21131aep|GAP1_SCHPO
t5519aep|CNKR2_RAT
t5543aep|KCA10_CHICK
t5515aep|LIN41_DANRE
t8883aep|FGD6_HUMAN
t8897aep|GGHA_DICDI
t8911aep|ATS10_HUMAN
t8891aep|INX3_DROME
t8913aep|RDH12_HUMAN
t22300aep|ADRB2_CAVPO
t28952aep|LAMB2_HUMAN
t22287aep|ERP60_SCHMA
t22295aep|KLHL2_HUMAN
t6070aep|NAC1_FELCA
t16758aep|FZD4_HUMAN
t9410aep|ZNT1_HUMAN
t19316aep|MEP1B_MOUSE
t7252aep|SUP9_CAEEL
t7251aep|HMCN1_HUMAN
t7258aep|PI16_MOUSE
t7247aep|PP16A_MOUSE
t11459aep|SRAC1_DANRE
t14529aep|DMTA2_MONAL
t14550aep|CDK17_HUMAN
t14532aep|KCNJ9_RAT
t14528aep|LIN41_DANRE
t14035aep|TBA1C_HUMAN
t12537aep|CMIP_HUMAN
t12554aep|SPY2_BOVIN
t21550aep|KI16B_HUMAN
t14047aep|UBP38_HUMAN
t21547aep|SIK2_MOUSE
t2957aep|YUGO_BACSU
t2940aep|CTNL1_MOUSE
t2948aep|EGL4_CAEEL
t2965aep|SYCP1_MOUSE
t16502aep|GBRB3_HUMAN
t16520aep|S12A6_HUMAN
t14052aep|FP_ACRMI
t16544aep|INF2_XENLA
t16527aep|AGUA_PSEA7
t16523aep|DDR2_MOUSE
t16538aep|PAG15_HUMAN
t16550aep|MSI2H_HUMAN
t14030aep|MP2K4_MOUSE
t7751aep|ENTP8_CHICK
t7702aep|CSRP2_HUMAN
t7736aep|GDPD1_HUMAN
t14042aep|PEBB_HUMAN
t7723aep|TM216_BOVIN
t16676aep|TRET1_BOMMO
t16695aep|ADRB2_PIG
t16679aep|WDR27_HUMAN
t16693aep|TNF10_HUMAN
t16688aep|NECA_HYDVU
t16681aep|RHG07_CANLF
t1988aep|NR2F6_MOUSE
t1978aep|FBLN1_HUMAN
t11722aep|MMP27_TUPBE
t11709aep|CTND1_HUMAN
t11689aep|MASP1_HUMAN
t11700aep|UBP2_CHICK
t11713aep|RHBT1_HUMAN
t8995aep|GBRB1_MOUSE
t8986aep|HORM1_CANLF
t6698aep|ZN699_HUMAN
t6693aep|SPSB3_XENTR
t6725aep|BAT1_RABIT
t6715aep|CASR_RAT
t15694aep|ZNF85_HUMAN
t11773aep|LCLT1_CHICK
t15695aep|B3GN4_HUMAN
t11762aep|USOM5_ACRMI
t11769aep|KGUA_MOUSE
t11771aep|AA2AR_CANLF
t5764aep|RWD2B_PONAB
t5776aep|PKD2_BOVIN
t5777aep|PKD2_BOVIN
t5751aep|GCYB1_MOUSE
t5737aep|TUB_HUMAN
t15593aep|GBRB1_MOUSE
t15590aep|MYCBP_DICDI
t15595aep|ACOT9_BOVIN
t15564aep|TM175_DANRE
t15575aep|CE41B_XENLA
t15706aep|BODG_RAT
t28696aep|AA2BR_CHICK
